timestamp	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Marker Number	Qw	Qx	Qy	Qz	X	Y	Z	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Target Number	Qw	Qx	Qy	Qz	X	Y	Z	Scale X	Scale Y	Scale Z	Hit	Landmark Number	X	Y	Z
9	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.52340936660767	-85.7426702976227	-8.80913734436035	4	0	0	0	0	1.33254528045654	-83.1769466400146	-26.4028310775757	5	0	0	0	0	11.876916885376	-85.1130545139313	-16.8322801589966	6	0	0	0	0	-7.45526626706123	-85.6238842010498	-17.0529246330261	7	0	0	0	0	3.81778478622437	-78.9786458015442	-37.4639749526978	8	0	0	0	0	4.98692989349365	-156.04522228241	0.677430629730225	10	0	0	0	0	-3.14292563368347E+28	3.41947110426913E+28	-4.40904004927541E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
10	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.41562032699585	-85.6688797473907	-8.77816677093506	4	0	0	0	0	1.23635530471802	-83.1308960914612	-26.3985395431519	5	0	0	0	0	11.7976903915405	-85.0338995456696	-16.8042182922363	6	0	0	0	0	-7.52729251980782	-85.5735719203949	-17.017138004303	7	0	0	0	0	3.62200736999512	-78.8931250572205	-37.3703956604004	8	0	0	0	0	4.88333702087402	-155.965089797974	0.713860988616943	10	0	0	0	0	-3.14117171725694E+28	3.41844030021029E+28	-4.41108837573736E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
34	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.27974557876587	-85.5515658855438	-8.81812572479248	4	0	0	0	0	0.754129886627197	-83.0067098140717	-26.4419198036194	5	0	0	0	0	11.6166949272156	-84.9257826805115	-16.7084693908691	6	0	0	0	0	-7.68064334988594	-85.4708313941956	-17.030668258667	7	0	0	0	0	3.47628593444824	-78.8181722164154	-37.5410795211792	8	0	0	0	0	4.65236902236938	-155.850315093994	0.736880302429199	10	0	0	0	0	-3.13393100127313E+28	3.41831596915524E+28	-4.41633204720775E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
65	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.58566045761108	-85.2953314781189	-8.67786407470703	4	0	0	0	0	0.865781307220459	-82.7582240104675	-26.4551877975464	5	0	0	0	0	11.6553544998169	-84.6916317939758	-16.6593790054321	6	0	0	0	0	-7.87253454327583	-85.2756381034851	-16.8554067611694	7	0	0	0	0	3.46461534500122	-78.680956363678	-37.49840259552	8	0	0	0	0	4.48251962661743	-155.50491809845	1.04179382324219	10	0	0	0	0	-3.12940121879839E+28	3.40163125807545E+28	-4.43239731662155E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
67	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.58566045761108	-85.2953314781189	-8.67785215377808	4	0	0	0	0	0.865769386291504	-82.758229970932	-26.4551758766174	5	0	0	0	0	11.6553425788879	-84.6916317939758	-16.6593670845032	6	0	0	0	0	-7.87253454327583	-85.2756381034851	-16.8553948402405	7	0	0	0	0	3.46460342407227	-78.680956363678	-37.49840259552	8	0	0	0	0	4.48250770568848	-155.50491809845	1.04179382324219	10	0	0	0	0	-3.12940121879839E+28	3.40163125807545E+28	-4.43239731662155E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
98	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.34168672561646	-85.3785216808319	-8.81953239440918	4	0	0	0	0	0.762856006622314	-82.6623439788818	-26.642632484436	5	0	0	0	0	11.5365982055664	-84.7981214523315	-16.8736696243286	6	0	0	0	0	-7.82355144619942	-85.2472603321075	-16.9205904006958	7	0	0	0	0	3.65740060806274	-78.701651096344	-37.7275943756104	8	0	0	0	0	4.4811487197876	-156.083583831787	0.645089149475098	10	0	0	0	0	-3.12288767346596E+28	3.4152777904063E+28	-4.4264936206482E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
100	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.34172248840332	-85.3785157203674	-8.81955623626709	4	0	0	0	0	0.762903690338135	-82.6623320579529	-26.642632484436	5	0	0	0	0	11.5366339683533	-84.7981095314026	-16.8736815452576	6	0	0	0	0	-7.82351568341255	-85.2472543716431	-16.9206142425537	7	0	0	0	0	3.65744829177856	-78.701639175415	-37.7276062965393	8	0	0	0	0	4.48119640350342	-156.083583831787	0.645065307617188	10	0	0	0	0	-3.12288878027061E+28	3.4152777904063E+28	-4.42649251384355E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
132	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.70177030563354	-85.5009973049164	-8.68955850601196	4	0	0	0	0	0.99937915802002	-82.7558934688568	-26.5401363372803	5	0	0	0	0	11.6828918457031	-84.7754657268524	-16.8233394622803	6	0	0	0	0	-7.72497728466988	-85.2475881576538	-16.8238282203674	7	0	0	0	0	3.82100343704224	-78.7132143974304	-37.8787398338318	8	0	0	0	0	4.66574430465698	-156.855010986328	0.171804428100586	10	0	0	0	0	-3.12298617907932E+28	3.41098228158129E+28	-4.42973434464706E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
134	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.70175838470459	-85.5009973049164	-8.68954658508301	4	0	0	0	0	0.999367237091064	-82.7558934688568	-26.5401363372803	5	0	0	0	0	11.6828918457031	-84.7754716873169	-16.8233394622803	6	0	0	0	0	-7.72498920559883	-85.2475941181183	-16.8238162994385	7	0	0	0	0	3.82100343704224	-78.7132203578949	-37.8787279129028	8	0	0	0	0	4.66574430465698	-156.855010986328	0.171828269958496	10	0	0	0	0	-3.1229865480142E+28	3.41098265051617E+28	-4.42973434464706E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
167	1	0	0	0	0	-100	0.00892877578735352	-99.9984264373779	2	0	0	0	0	100	0.00892877578735352	-99.9984264373779	3	0	0	0	0	3.73183488845825	-85.7595086097717	-8.59060287475586	4	0	0	0	0	1.07557773590088	-82.7774226665497	-26.4489650726318	5	0	0	0	0	11.8027806282043	-84.8701655864716	-16.8736457824707	6	0	0	0	0	-7.53177478909492	-85.3090465068817	-16.6852116584778	7	0	0	0	0	4.3232798576355	-78.8489997386932	-38.2519245147705	8	0	0	0	0	4.50341701507568	-157.480788230896	0.289011001586914	10	0	0	0	0	-3.13225308543219E+28	3.41347517457541E+28	-4.42126359976842E+28	0	0.0	0.0	0.0	1.0	1.30528211593628	-82.0766150951386	-40.2952075004578	5	5	5	0	1	0.0	0.0	0.0	1.0	0.0359956989996135	-80.0048232078552	-10.5300664901733	5	5	5	0	0	-1.590574	-87.79848	5.40494
